Week,Interest
8/31/2014,49
9/7/2014,63
9/14/2014,52
9/21/2014,60
9/28/2014,77
10/5/2014,69
10/12/2014,52
10/19/2014,74
10/26/2014,61
11/2/2014,45
11/9/2014,64
11/16/2014,45
11/23/2014,36
11/30/2014,47
12/7/2014,49
12/14/2014,46
12/21/2014,41
12/28/2014,42
1/4/2015,41
1/11/2015,45
1/18/2015,42
1/25/2015,42
2/1/2015,47
2/8/2015,61
2/15/2015,48
2/22/2015,56
3/1/2015,54
3/8/2015,58
3/15/2015,37
3/22/2015,44
3/29/2015,45
4/5/2015,65
4/12/2015,56
4/19/2015,62
4/26/2015,57
5/3/2015,43
5/10/2015,63
5/17/2015,56
5/24/2015,56
5/31/2015,69
6/7/2015,58
6/14/2015,57
6/21/2015,66
6/28/2015,49
7/5/2015,53
7/12/2015,63
7/19/2015,56
7/26/2015,47
8/2/2015,69
8/9/2015,51
8/16/2015,90
8/23/2015,100
8/30/2015,60
9/6/2015,64
9/13/2015,74
9/20/2015,75
9/27/2015,65
10/4/2015,77
10/11/2015,50
10/18/2015,62
10/25/2015,71
11/1/2015,80
11/8/2015,29
11/15/2015,70
11/22/2015,55
11/29/2015,55
12/6/2015,71
12/13/2015,53
12/20/2015,71
12/27/2015,49
1/3/2016,48
1/10/2016,66
1/17/2016,59
1/24/2016,53
1/31/2016,67
2/7/2016,41
2/14/2016,40
2/21/2016,43
2/28/2016,50
3/6/2016,43
3/13/2016,54
3/20/2016,47
3/27/2016,41
4/3/2016,46
4/10/2016,57
4/17/2016,54
4/24/2016,52
5/1/2016,40
5/8/2016,49
5/15/2016,65
5/22/2016,41
5/29/2016,51
6/5/2016,44
6/12/2016,54
6/19/2016,41
6/26/2016,48
7/3/2016,33
7/10/2016,32
7/17/2016,45
7/24/2016,51
7/31/2016,32
8/7/2016,40
8/14/2016,26
8/21/2016,66
8/28/2016,51
9/4/2016,56
9/11/2016,73
9/18/2016,44
9/25/2016,42
10/2/2016,40
10/9/2016,50
10/16/2016,44
10/23/2016,37
10/30/2016,43
11/6/2016,44
11/13/2016,63
11/20/2016,40
11/27/2016,34
12/4/2016,48
12/11/2016,64
12/18/2016,43
12/25/2016,31
1/1/2017,67
1/8/2017,68
1/15/2017,62
1/22/2017,59
1/29/2017,60
2/5/2017,50
2/12/2017,51
2/19/2017,68
2/26/2017,77
3/5/2017,59
3/12/2017,52
3/19/2017,57
3/26/2017,63
4/2/2017,43
4/9/2017,59
4/16/2017,58
4/23/2017,72
4/30/2017,63
5/7/2017,46
5/14/2017,42
5/21/2017,50
5/28/2017,55
6/4/2017,50
6/11/2017,53
6/18/2017,45
6/25/2017,46
7/2/2017,40
7/9/2017,73
7/16/2017,53
7/23/2017,41
7/30/2017,52
8/6/2017,64
8/13/2017,59
8/20/2017,57
8/27/2017,62
9/3/2017,61
9/10/2017,59
9/17/2017,67
9/24/2017,78
10/1/2017,56
10/8/2017,65
10/15/2017,84
10/22/2017,75
10/29/2017,49
11/5/2017,66
11/12/2017,65
11/19/2017,43
11/26/2017,54
12/3/2017,79
12/10/2017,62
12/17/2017,62
12/24/2017,49
12/31/2017,62
1/7/2018,62
1/14/2018,62
1/21/2018,61
1/28/2018,72
2/4/2018,77
2/11/2018,53
2/18/2018,53
2/25/2018,51
3/4/2018,59
3/11/2018,59
3/18/2018,41
3/25/2018,62
4/1/2018,58
4/8/2018,60
4/15/2018,50
4/22/2018,64
4/29/2018,57
5/6/2018,63
5/13/2018,57
5/20/2018,49
5/27/2018,48
6/3/2018,43
6/10/2018,56
6/17/2018,47
6/24/2018,52
7/1/2018,50
7/8/2018,57
7/15/2018,47
7/22/2018,57
7/29/2018,49
8/5/2018,49
8/12/2018,64
8/19/2018,69
8/26/2018,66
9/2/2018,58
9/9/2018,65
9/16/2018,64
9/23/2018,59
9/30/2018,61
10/7/2018,68
10/14/2018,55
10/21/2018,46
10/28/2018,62
11/4/2018,62
11/11/2018,78
11/18/2018,52
11/25/2018,49
12/2/2018,53
12/9/2018,64
12/16/2018,55
12/23/2018,48
12/30/2018,41
1/6/2019,52
1/13/2019,51
1/20/2019,63
1/27/2019,48
2/3/2019,62
2/10/2019,67
2/17/2019,59
2/24/2019,70
3/3/2019,55
3/10/2019,67
3/17/2019,54
3/24/2019,60
3/31/2019,71
4/7/2019,76
4/14/2019,73
4/21/2019,58
4/28/2019,54
5/5/2019,55
5/12/2019,59
5/19/2019,62
5/26/2019,49
6/2/2019,49
6/9/2019,45
6/16/2019,55
6/23/2019,52
6/30/2019,57
7/7/2019,59
7/14/2019,54
7/21/2019,49
7/28/2019,56
8/4/2019,56
8/11/2019,43
8/18/2019,58
